,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Lrfn3,0.001107362,0,0.000443771,0.018917467,0.009804813,0.003162326,0,0.009848778,0.009693227,0.010545084,0.003207664,0.008635906,0.002965341,0.001355537,0.002264568
Alkbh6,0.147473004,0.15232027,0.147507069,0.1437028,0.155110581,0.144274065,0.687694282,0.779061243,0.689881573,0.714770972,0.759412943,0.648964228,0.257689591,0.252085281,0.201465921
Sdhaf1,0.671629067,0.551425007,0.55431621,0.629722943,0.786148385,0.656803749,8.614306346,10.90710271,12.1801511,9.035957941,10.14812812,10.6734596,1.266479141,1.55970612,1.813468913
Nphs1,0.001255565,0,0.000670884,0.006410124,0.001572105,0.004382342,0,0,0.001587518,0.000204382,0.000505133,0.001414354,0.001120734,0.000683091,0
Nphs1os,0,0,0,0,0.000946991,0.003359741,0,0,0,0,0,0.005505012,0.003150458,0,0
Arhgap33,0.035087901,0.051552207,0.054650345,0.045905079,0.049320253,0.023031394,0.047550592,0.027946435,0.051434443,0.023937791,0.019796671,0.02229941,0.071521661,0.052311167,0.116950169
Hcst,1.826743831,1.858358031,1.755738612,0.951196065,1.063411868,1.105320855,0.324531797,0.417565746,0.36076986,0.212297638,0.312091607,0.205472504,1.285087047,1.675570461,1.218083
Prodh2,0.004349508,0.001570418,0,0.001441245,0,0.000388157,0,0.000763502,0.000713872,0.000298695,0.001033519,0.000159001,0.00181989,0.001331073,0
Nfkbid,0.650801366,0.627488412,0.568151885,0.470751869,0.373912727,0.442737407,0.332829316,0.282572776,0.326103631,0.255627533,0.19817463,0.209829249,0.31970811,0.317160531,0.406205421
Aplp1,0.147247929,0.086241056,0.1053587,0.050423833,0.108886173,0.076752183,0.201051561,0.226814522,0.159554697,0.190343669,0.178765705,0.125164177,0.177369743,0.138148684,0.126987687
Tyrobp,0.139493506,0.200546701,0.100538186,0.091901305,0.139999196,0.084286824,0.017621058,0.001973712,0.012917884,0.010037949,0.009160202,0.007398529,0.13078656,0.0387104,0.020478775
Kirrel2,0.005048408,0.000920974,0.003194416,0.014087002,0.002245676,0.009864183,0,0.001119392,0.001744378,0,0.003463478,0.00341903,0.004269106,0,0.001630113
Arhgap33os,0.001520744,0,0,0.014109511,0.002295167,0.003799979,0.000501743,0,0,0.002088692,0.000412978,0.00711583,0.002036156,0,0.002332454
Cox6b1,0.901289519,0.737241321,0.735829106,0.569715,0.58943943,0.508239041,0.740523258,0.709952241,0.653923153,0.709069844,0.622402757,0.590380316,0.951997874,1.06803374,0.772293058
