,nik_s1,nik_s2,nik_s3,ctr_s1,ctr_s2,ctr_s3,nik_t3,ikk_t2,ikk_t3,ctr_t1,ctr_t2,ctr_t3,nik_t1,nik_t2
Foxp4,0.490247168,0.500953781,0.449676371,0.301927136,0.206220887,0.276139746,0.332045846,0.166242564,0.145408131,0.161228989,0.16399073,0.11447077,0.358098046,0.334703215
9830107B12Rik,0.026160538,0.019234502,0.009006189,0.004741292,0.029796937,0.012559829,0.003308863,0.00216791,0.001627288,0.00211753,0,0.001884094,0.011483209,0.006130614
A530064D06Rik,0.005486544,0.018843084,0.00119626,0.000514097,0,0.001099963,0.00602749,0.001586695,0,0,0,0,0.022686847,0.010303486
Treml4,0.026996415,0.05679958,0.011772341,0.015599219,0.00208654,0.014432916,0.006178776,0.001734955,0.001215481,0.010214893,0.001780084,0.005629196,0.02711918,0.018534776
B430306N03Rik,0.038557685,0.059447882,0.006269579,0.006429757,0.11597152,0.011005695,0.002512839,0.00264595,0.003398467,0.000670045,0,0.008584989,0.016030617,0.043786241
Trem3,0.00128566,0.009188998,0.000280319,0,0.00695576,0.003157486,0.0018538,0,0,0,0,0,0.011983976,0.004906708
Treml2,0.054563613,0.119121954,0.078518824,0.064061998,0.042509322,0.129409785,0.029372223,0.036819218,0.023989297,0.015104703,0.003928802,0.002389256,0.047647972,0.059233135
Unc5cl,0.014424753,0.015693573,0.008667323,0.011936692,0.009346859,0.006237824,0.004514541,0.009054643,0.007255419,0.005202123,0.003390912,0.005967505,0.018020853,0.009957713
Oard1,0.572720382,0.906105573,0.642755056,0.412317865,0.315162695,0.597994056,0.71362711,0.763672318,0.669929496,0.494698066,0.591522649,0.764916809,0.812126222,0.836718564
Tspo2,0.055077863,0.048568206,0.001715559,0.015482626,0,0.022084437,0.022690599,0.002654731,0.003719722,0.011092439,0.043580554,0.006460109,0.048251448,0.043375453
Nfya,0.575904309,0.54001536,0.49876683,0.347141163,0.383122451,0.443998671,0.511426509,0.438653504,0.369389639,0.400560916,0.467860776,0.423963337,0.489888304,0.519873547
Apobec2,0.109549237,0.085686032,0.091693522,0.023497428,0.008426878,0.009107815,0.053900938,0.014481008,0.030435472,0.030076041,0.010927585,0.011651459,0.104941053,0.113164877
1700008K24Rik,0.055875197,0.181525852,0.036548289,0,0.241839715,0.039207248,0.010742237,0.002513618,0.015848997,0.00572881,0,0,0.126095096,0.052127078
Gm17830,0.007547302,0.010897543,0.005850944,0.003850273,0.003629592,0.008826484,0.004836666,0.003395251,0.000792886,0.001719588,0.006967134,0,0.014810612,0.029871025
Mocs1,0.094579616,0.099349902,0.055678566,0.074615194,0.068795333,0.073555515,0.045710849,0.054957654,0.062349105,0.064782163,0.053840672,0.061978614,0.069084582,0.087343933
Dazl,0.009988643,0.007139184,0.001742301,0.003930991,0.036748022,0,0,0.001348056,0.002597172,0.001536183,0,0.006560807,0.009800715,0.025414371
AY702103,0.068037425,0.146925375,0.000872621,0.007218982,0.181884965,0.018254065,0.003847199,0.000900221,0.002365051,0.008206808,0.002216729,0,0.065775635,0.123892051
C330011F03Rik,0.025427157,0.045216502,0,0.0061445,0.010136565,0.000939056,0.001929661,0.005117329,0.000632668,0.00343028,0.001482477,0.00073251,0.026918407,0.017592499
